Gene.symbol	Gene.ID	adj.P.Val	logFC
NA	NA	4.21053278831813e-20	-3.67006387844445
NA	NA	7.8496617622648e-15	-5.87476460055556
NA	NA	1.74649586312333e-13	-2.28648589972222
CHRM3	1131	5.1008974648513e-13	-4.37856988838889
NA	NA	2.92282696227974e-12	-3.4098246065
SGIP1	84251	3.08653705352328e-11	-2.26668834611111
NA	NA	5.19451970001565e-11	-4.67348965777778
NA	NA	6.37755452591098e-11	-4.12074150494445
NA	NA	2.90367706955531e-10	-1.87749534672222
PBX1	5087	2.90367706955531e-10	-4.19551911222222
NA	NA	4.24511592986151e-10	-2.07099867272222
NA	NA	2.44101104008472e-09	-2.61089097483333
PRKG1	5592	2.80955052294267e-09	-1.97547089594445
NA	NA	3.19751385288242e-09	-3.17347958394445
NA	NA	4.08113675676827e-09	-3.436481563
NA	NA	4.63756161522794e-09	-2.05384542405556
NA	NA	5.13256176778774e-09	-4.14036367338889
BEND7	222389	5.36556946903011e-09	-2.01595482694444
CEP126	57562	8.31110097036941e-09	-2.77985165477778
NA	NA	1.56727667824439e-08	-1.71811622361111
NA	NA	1.87866809935525e-08	-1.72822099711111
NA	NA	1.87866809935525e-08	-2.08046266911111
NA	NA	3.95759586815767e-08	-4.41211256005555
NA	NA	4.26946663029379e-08	-2.67626104872222
NA	NA	4.26946663029379e-08	-2.634756757
NA	NA	7.64512606621507e-08	-1.94814958
NA	NA	7.64512606621507e-08	-2.38875149933333
NA	NA	1.82181943284074e-07	-2.15286751011111
NA	NA	3.32127606202408e-07	-2.34925887205556
HFM1	164045	3.87759950835934e-07	-1.74752571233333
		4.73053639581802e-07	-1.27524154411111
NA	NA	4.94247851878559e-07	-2.21014730072222
NA	NA	7.38723178357503e-07	-2.441912577
NA	NA	7.38723178357503e-07	-2.01924801716667
ARMC4	55130	8.02043329433585e-07	-1.55757079688889
DTX3	196403	8.02043329433585e-07	-1.8900337425
NA	NA	8.05553439700983e-07	-2.70245587916667
NA	NA	1.45887234068468e-06	-1.66470489877778
NA	NA	1.94933528846567e-06	-1.77683679722222
NA	NA	1.94933528846567e-06	4.38238276816667
NA	NA	2.21758781539481e-06	-2.28771540088889
SYDE2	84144	2.45530625075905e-06	-1.4738590015
NA	NA	2.60906986665784e-06	-1.62297949161111
NA	NA	2.81656212833324e-06	-1.52040033644444
RASSF9	9182	2.9987044571897e-06	-1.44500066872222
NA	NA	4.53798866922937e-06	-1.885322114
SLC22A17	51310	5.19180962841237e-06	-1.85750208744444
NA	NA	5.41207431721051e-06	1.11158406444444
NA	NA	8.18172001757159e-06	2.97252833266667
PDZRN4	29951	8.57757614490215e-06	-1.45980796511111
CNN3	1266	8.89790541349863e-06	-3.2901396115
STARD9	57519	8.89790541349863e-06	-2.65592077622222
ELAC2///HMGA2///HMGA2	60528///8091///8091	1.00430305994231e-05	-2.19927881311111
NA	NA	1.03931434384425e-05	-1.47899983538889
NA	NA	1.03931434384425e-05	1.66753962511111
NA	NA	1.15976767709624e-05	-1.68825946022222
NA	NA	1.25059229842661e-05	-1.69690921722222
SERGEF	26297	1.35444949176009e-05	-1.55922602894445
NA	NA	1.58785027910735e-05	-1.67448235855556
NA	NA	1.59009776887132e-05	1.67753630655556
RAPGEF3	10411	1.59370396178819e-05	-1.15628972433333
CTSF	8722	1.6162135866318e-05	-2.12292367677778
QSOX1	5768	1.69472949334023e-05	2.17343817755556
GPC5	2262	1.82662690060109e-05	-1.85512639205556
STARD9	57519	1.92056706619939e-05	-2.6232532995
NA	NA	1.96192637621737e-05	1.57675684166667
VWA2	340706	1.97019874738853e-05	-1.19465742544444
NA	NA	2.13088627577463e-05	-1.96624245283333
NA	NA	2.30012461115728e-05	-3.76142551894444
NA	NA	2.39252527408509e-05	-2.41420726588889
		2.47143937464619e-05	-1.79124846044444
		2.5951226749731e-05	-1.61405231494444
NA	NA	2.64744797622688e-05	1.71587967972222
WARS	7453	2.72779169836693e-05	2.47366436005556
NA	NA	2.90201443404607e-05	-2.65819950888889
NA	NA	2.92974525643189e-05	1.44386641205556
NA	NA	2.92974525643189e-05	-4.35933577477778
SSPN	8082	2.94144412015645e-05	-2.27199150316667
		3.05385605611489e-05	-1.05227679672222
PCDH9	5101	3.15486951126847e-05	-1.47935979761111
EIF3J-AS1	645212	3.20850584923956e-05	-1.52707727927778
NA	NA	3.32799019911813e-05	1.89842675966667
NA	NA	3.53523814922113e-05	1.23002558783333
NA	NA	3.53523814922113e-05	1.48101882838889
NA	NA	3.73253881862041e-05	-3.27643130972222
NA	NA	3.92230157491795e-05	1.36132732844444
NA	NA	3.99404963079456e-05	-2.05946082733334
		4.07477490159222e-05	-1.76554035172222
NA	NA	4.14437832217213e-05	-2.59531469377778
NA	NA	4.17863151849184e-05	2.96374122755556
		4.70168322326574e-05	-1.03837823194445
NA	NA	4.70168322326574e-05	-1.29292364811111
GATA3	2625	4.81629994052595e-05	-1.50491306338889
NA	NA	4.87742620468791e-05	-2.97287592405556
NA	NA	4.93709186516415e-05	1.66777954277777
NA	NA	4.93709186516415e-05	-1.67394623477778
NA	NA	4.93709186516415e-05	-1.32790699038889
NA	NA	4.93709186516415e-05	1.173731674
NA	NA	5.08713121258419e-05	2.09366154027778
NA	NA	5.51494716507421e-05	-2.28738022044444
NA	NA	5.61605625212346e-05	-4.53988456877778
NA	NA	6.48149290755107e-05	1.48600769127778
MDGA2	161357	6.77188427274378e-05	-1.26529799905556
NA	NA	6.87696260929953e-05	-1.09703464516667
NA	NA	7.00748370210119e-05	-1.64227840327778
NA	NA	7.00748370210119e-05	-1.80671454705556
NA	NA	7.00748370210119e-05	2.78671463333333
STARD9	57519	7.03748138619166e-05	-2.89634420705556
NA	NA	7.22450343487433e-05	-1.43197157944444
NA	NA	7.45589061732228e-05	-1.66698266577778
NA	NA	8.11272959301745e-05	-2.46461376233333
NA	NA	8.26562058826388e-05	-3.47905136172222
NA	NA	8.26562058826388e-05	-3.03993466994445
PBXIP1	57326	8.38605557410317e-05	-1.93168316472222
NA	NA	8.38605557410317e-05	-3.28283344483333
NA	NA	8.38605557410317e-05	1.99124891561111
IL12RB2	3595	8.49670956207799e-05	-4.03474281483333
NA	NA	9.0762067171503e-05	1.75582445827778
ENO2	2026	9.44619126300412e-05	-2.15055079755556
		9.4908880823869e-05	-1.0860206845
NA	NA	9.85767986253257e-05	-2.49897428161111
GAPDH	2597	0.000103746997353559	0.820173983333335
NA	NA	0.000116642627277342	2.599794173
NA	NA	0.000116642627277342	-1.19041420044444
NA	NA	0.000119907348842681	-3.11862802972222
ARF1	375	0.000125442556912313	0.982237952222222
FAM107B	83641	0.000127343190772235	2.82746597544444
NA	NA	0.000128021817098834	-1.80105584516667
FAM19A2	338811	0.000128390047706624	-3.51643468888889
DPP3	10072	0.0001316554608854	1.46012934122222
NA	NA	0.000134661981890779	2.08102628761111
CCNY	219771	0.000153348928766745	1.35523852605556
NA	NA	0.000155948502617657	-1.6924170925
NA	NA	0.000158802266214866	-0.967074688388889
NA	NA	0.000160109998704413	-2.530642614
NA	NA	0.000160974751507587	1.51462877177778
NA	NA	0.000162656046883011	1.93205222955556
MIPOL1	145282	0.000170246133824426	-1.1197880595
		0.000175215231819585	-1.01594522372222
NA	NA	0.000176296294988096	-1.13966432622222
NA	NA	0.000176316619157461	2.03611367011111
OBSCN	84033	0.000176831759507472	-1.05245024455555
STAC3	246329	0.000179458635520611	1.68825048838889
INPPL1	3636	0.000185594620774882	1.00132000427778
TMEM136///TMEM136	219902///219902	0.000189213778236521	-2.88016566788889
NA	NA	0.000197354305840146	1.08636099555556
NA	NA	0.000202878267580513	2.02647358005555
NA	NA	0.000202878267580513	1.52952036761111
NA	NA	0.000209856115221669	-1.22122099066667
C1orf145	574407	0.000228727456669733	-0.903293618611113
NA	NA	0.00023111877912545	1.61074137816667
HMGN2	3151	0.000233448765057547	1.61603412611111
LTBP3	4054	0.000233448765057547	-2.01958679533333
NA	NA	0.000236343929774004	-1.00720281166667
LYZ	4069	0.000245581666456709	4.31148124977778
		0.000247044909829342	-1.42932836516667
NA	NA	0.000250999840719154	-1.21285129755556
NA	NA	0.000251421795931767	1.57956664572222
NA	NA	0.000254448405634029	-5.55381216261111
NA	NA	0.000254448405634029	-1.19244376138889
NA	NA	0.000255748929475523	-1.23292611144444
NA	NA	0.000255748929475523	-2.19111136627778
NA	NA	0.000276546701259316	1.6624610105
PRO2012	55478	0.000295554161506402	-3.50055684355556
NA	NA	0.000295554161506402	-1.73457023305556
KPNA6	23633	0.000295554161506402	1.33336443216667
NA	NA	0.000295554161506402	1.085206209
NA	NA	0.000295554161506402	-1.20987295444444
NA	NA	0.000296748553673525	-1.78053967783333
NA	NA	0.000301061219613571	-3.10377885216667
		0.000301309746435218	-3.11516283433333
NA	NA	0.000307833203487586	-2.52482401466667
NA	NA	0.000311093389498509	1.41758827277778
NA	NA	0.000322611072912156	1.29885640388889
NA	NA	0.000323567195364884	-3.99593663838889
SLC8A3	6547	0.000323567195364884	-1.40864501883333
NA	NA	0.000329079384148591	-1.82133112538889
NA	NA	0.000332243681444765	-1.22227304016667
NCSTN	23385	0.000332243681444765	1.54777923766667
CLPB	81570	0.000332243681444765	1.29599474111111
NA	NA	0.000337419293618619	0.914944239999997
NA	NA	0.000337423969830659	-1.65600367633333
NA	NA	0.000337423969830659	2.9867176715
NA	NA	0.000337423969830659	-1.85142842372222
NA	NA	0.000337601804244706	-2.08770019088889
NA	NA	0.000338127114102208	0.857393391666665
CDKN2C	1031	0.000343958484790341	1.86276054966667
NA	NA	0.000351412138267	1.40832116283334
NA	NA	0.000351433902786035	-1.51836703716667
NA	NA	0.000356550390406954	2.20619516077778
ATP11A	23250	0.000356771628718894	2.02648313877778
NA	NA	0.000359605905056831	2.51772861127778
NA	NA	0.000361158550139689	-2.57349238866667
LOC100129940	100129940	0.000362491105091452	-1.78699972788889
NA	NA	0.000362491105091452	-0.64523912
NA	NA	0.000365997648207552	1.48812055988888
TCTEX1D1	200132	0.000369795152858567	-3.67109859838889
RNPEP	6051	0.000371352406740761	1.30733498811111
ECRP///ECRP	643332///643332	0.000383623260043779	4.24850250016667
NA	NA	0.000383623260043779	-2.40525458905556
NA	NA	0.000383623260043779	-1.34063574022222
REC8	9985	0.000386321916489009	-2.32450494572222
NA	NA	0.000391921967287285	-1.60834368872222
NA	NA	0.000400772931865409	-0.994198246055557
NA	NA	0.000425567203989997	-2.25819040022222
NA	NA	0.000426174709049561	1.55007564555556
NA	NA	0.000435947184228108	-1.34312742911111
NA	NA	0.000435947184228108	-3.19057578333333
NA	NA	0.000440263676800546	-2.46440806983334
NA	NA	0.000443823674046856	1.15812435311111
NA	NA	0.000457458336695229	1.75014154961111
AURKAIP1	54998	0.000465059640883257	-1.34422696988889
NA	NA	0.000468371368119349	-1.48014251522222
NA	NA	0.000517146129943472	-1.13994145155555
ANAPC15	25906	0.000517146129943472	1.86802896488889
LOC727751///GOLGA2P3Y///GOLGA2P7///GOLGA2P2Y///GOLGA2P10	727751///401634///388152///84559///80154	0.000517146129943472	-3.22493782172222
NA	NA	0.000517146129943472	-2.57121711533333
NA	NA	0.000523309412500109	1.41333903266667
NA	NA	0.000537667968854398	1.69578288166667
C1orf21	81563	0.000552148423842356	-2.58877799861111
NA	NA	0.00055376781453973	-0.887545596055557
NA	NA	0.000556690219480049	-0.934438787388888
NA	NA	0.000572652830630861	-1.0924637475
BROX	148362	0.000581020104701721	1.15475047527778
ARHGEF17	9828	0.000599840217553044	-1.42430922555555
NA	NA	0.00060542384327192	1.23809668661111
CCDC175	729665	0.00060542384327192	-2.18676656588889
