Gene.symbol	Gene.ID	adj.P.Val	logFC
WLS	79971	9.00780038838721e-11	-3.82429199305556
NA	NA	9.00780038838721e-11	4.65079884055556
NA	NA	9.00780038838721e-11	5.93137807372222
LDHB	3945	9.00780038838721e-11	2.40881868583333
NA	NA	9.00780038838721e-11	-5.21382040227778
NA	NA	1.21001599585055e-10	5.71632108444445
NA	NA	1.22169508791446e-10	-2.55947079794444
CLEC6A	93978	1.22169508791446e-10	-3.90374352805556
NA	NA	1.33694056849559e-10	-2.81230648716667
STMN1	3925	1.64361973795844e-10	4.33719421677778
NA	NA	2.12674207583136e-10	3.73213162511111
NA	NA	3.47747963849509e-10	-1.76535015694445
NA	NA	7.56315071749549e-10	-5.04615385011111
ALDH18A1	5832	7.97524326355913e-10	3.96767261722222
NA	NA	1.57972515348789e-09	-4.51042408366667
WEE1	7465	1.79521277083043e-09	3.57760845272223
NA	NA	1.79521277083043e-09	1.78409149494444
WEE1	7465	3.82338646606088e-09	2.86129397355556
NA	NA	3.94225475527626e-09	1.47564868555556
NA	NA	5.25188848374786e-09	4.11945463738889
NA	NA	5.74494717528506e-09	-2.85087787422222
NA	NA	5.74494717528506e-09	5.40613475133333
SLC24A4	123041	5.74494717528506e-09	-3.04069401355556
DTL	51514	6.21799050512849e-09	4.69172871083333
NA	NA	8.95228306186405e-09	2.74258148027778
NA	NA	9.26584896319299e-09	5.38391744005556
NA	NA	1.14374038642089e-08	3.87291860205556
NA	NA	1.46755464209766e-08	2.28520124272222
NA	NA	1.46755464209766e-08	4.02244866777778
NA	NA	1.47753319077347e-08	3.67998719716667
NA	NA	1.63553692219634e-08	-2.95730432211111
NA	NA	1.63553692219634e-08	3.49253291144445
SLC35F2	54733	1.66413557076852e-08	3.51390348666667
RBP7	116362	1.66413557076852e-08	-3.53573504827778
CLEC1A	51267	1.66413557076852e-08	-2.40614118794444
SLC38A1	81539	1.77116630635462e-08	4.50307048872222
NA	NA	1.77116630635462e-08	-1.7446778435
RTN1	6252	1.82112719578803e-08	-3.19383642805556
NA	NA	1.87528882910488e-08	-3.62810058883334
NA	NA	2.09214667187709e-08	2.62875730838889
NA	NA	2.49305029749906e-08	-1.97179690738889
NA	NA	3.15348892868269e-08	1.64177820666667
NA	NA	3.74506355024492e-08	1.85267349922222
NA	NA	4.46580679808147e-08	1.24826789222222
NA	NA	4.46580679808147e-08	-2.180371939
RASSF3	283349	4.61714469647181e-08	-2.54219160816667
NA	NA	5.03257866647254e-08	1.44571454755556
NA	NA	5.13027022483281e-08	2.31895191411111
		5.53448254148823e-08	2.36517544583333
NA	NA	5.75495916004252e-08	3.86836619688889
NA	NA	6.23521553470713e-08	-1.35669214833333
NA	NA	6.23521553470713e-08	-2.28919869705555
NA	NA	6.29472017979137e-08	-4.05556339544445
NA	NA	6.94557058751543e-08	2.49289020983333
NA	NA	6.99694432542667e-08	1.61143183822222
NA	NA	7.68234224709443e-08	1.28492844788888
NA	NA	7.7487427224269e-08	-2.28127717672222
NA	NA	7.7487427224269e-08	2.545638725
NA	NA	7.7487427224269e-08	3.84659961155556
NA	NA	7.7487427224269e-08	2.217361567
FLT3	2322	7.7487427224269e-08	3.47029807655556
NA	NA	7.91221814001648e-08	-2.09643877005556
NA	NA	8.12554112209536e-08	1.37745808222222
NA	NA	8.12554112209536e-08	2.47354781538889
CHEK1	1111	8.12554112209536e-08	3.41510097811111
NA	NA	8.21708697010513e-08	-2.08400640172222
NA	NA	8.21708697010513e-08	-1.30318439388889
NA	NA	1.09717444503844e-07	-3.87293025888889
ADGRD1	283383	1.14451088400302e-07	-2.01865393044444
NA	NA	1.20270269728069e-07	-3.23768843527778
NA	NA	1.31090103375296e-07	1.69419446144445
CCND2	894	1.31090103375296e-07	3.20945863211111
NA	NA	1.33629569927902e-07	-1.73533847338889
CHD1L	9557	1.43548736715704e-07	1.84203382488889
NA	NA	1.62390267317729e-07	1.55473095561111
NA	NA	1.62390267317729e-07	-1.63723848122222
KNTC1	9735	1.62390267317729e-07	2.45040504022222
MSRB3	253827	1.68782973282643e-07	3.76966463527778
NA	NA	1.68782973282643e-07	2.86405523844444
NA	NA	1.73143108604031e-07	-1.91405528988889
NA	NA	1.7502851409129e-07	-3.09375645094445
NA	NA	1.93288771215399e-07	1.7336819855
BEST1	7439	2.04977088205285e-07	-2.48952390588889
HACD1	9200	2.05858189307034e-07	2.83452792433333
NA	NA	2.09988707943568e-07	-1.92683946611111
NA	NA	2.09988707943568e-07	2.76400386211111
HELLS	3070	2.45442576191923e-07	3.28466200383334
FOLR3	2352	2.56534255729019e-07	-2.72698097366666
NA	NA	2.56580471596698e-07	2.25725276088889
CDA	978	2.57679076607201e-07	-3.71651624355556
NA	NA	2.75135801595827e-07	2.43752076077778
NA	NA	2.83666011724108e-07	-1.64435790188889
NA	NA	2.84747876357008e-07	1.59973095338889
NA	NA	3.070042330014e-07	2.14775723472222
NA	NA	3.10215901795262e-07	2.02886061877778
NA	NA	3.12495685796254e-07	-2.62514910627778
NA	NA	3.26620533479873e-07	-1.60245475494445
NA	NA	3.29261203593355e-07	-2.65768887233334
CD69	969	3.3041058555043e-07	4.50643229633334
NA	NA	3.39276702186398e-07	2.12156948366666
NA	NA	3.39276702186398e-07	1.86226555094444
